tau_main,age_main,tau_burst,f_burst,age_burst,sfr_A,normalise,E_BV_lines,E_BV_factor,uv_bump_wavelength,uv_bump_width,uv_bump_amplitude,powerlaw_slope,Ext_law_emission_lines,Rv,imf,metallicity,qpah,umin,alpha,gamma,separation_age,logU,zgas,ne,f_esc,f_dust,lines_width,emission,redshift,filters
2085.9324222594687,8519.350052667116,7291.640364991026,0.17335545084383205,18.48076417460163,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1675.8759310057328,9009.524877120972,9874.34099463607,0.0009530273079884632,10.937258844016782,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1977.714457233752,9820.315863157295,6959.2835467964715,0.15457533135835333,37.93946494741155,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1782.3369273930575,9997.781510329438,9838.157712920693,0.18729644145050517,63.35298834257531,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.04,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2076.136163943424,8924.751584286867,2203.9107091927435,0.0014038689062971232,11.697193421563412,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2988.5219630487077,7329.934567840238,9673.697460893025,0.15407436660277796,12.278534365035867,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.04,2.5,5.0,2,0.02,10,-2.5,0.014,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1632.6691348551492,7314.449393576718,9914.422862640708,0.0002979519771540151,10.023696875596741,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.04,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2828.390690998821,9742.877618153063,9648.869172337327,0.06518778898067493,19.742048158053493,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.04,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
2669.93365730018,1513.5807480286185,1085.4304095027564,0.13247599064873739,79.44233082263992,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.04,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
1501.0157813070568,9476.888971220189,9934.86666305731,0.015045903548758816,10.96786828596565,1.0,True,0.3,0.44,217.5,35.0,0.0,0.0,1,3.1,1,0.02,2.5,5.0,2,0.02,10,-2.5,0.007,100,0.0,0.0,300.0,True,1.6365,B_B90 & V_B90 & FUV
